cattle-id,price,age,color,breed,weight
BLF990,91000,2.5 years,Red,Local,218 kg
BLF856,131000,2.5 years,Red,Red Chittagong,312 kg
BLF1323,130000,2.5 years,Red,Red Chittagong,312 kg
BLFB380,324000,3.5 years,Non Red,Holstein Friesian Cross,720 kg
BLF889,173000,3 years,Red,Sahiwal,418 kg
BLF1222,99000,2.5 years,Red,Sahiwal,240 kg
BLF1172,123000,3 years,Red,Red Chittagong,292 kg
BLF1085,90000,2.5 years,Red,Local,216 kg
BLF1244,103000,2.5 years,Non Red,Local,254 kg
BLF1159,109000,3 years,Red,Local,262 kg
BLF892,195000,3 years,Red,Sahiwal,450 kg
BLF1267,90000,2.5 years,Red,Local,218 kg
BLF985,130000,2.5 years,Red,Sahiwal,310 kg
BLF957,80000,2.5 years,Non Red,Local,195 kg
BLF1024,97000,3 years,Red,Local,233 kg
BLF1123,109000,2.5 years,Red,Red Chittagong,260 kg
BLF1201,100000,2.5 years,Non Red,Local,248 kg
BLF1239,110000,3 years,Red,Local,266 kg
BLF864,108000,2 years,Non Red,Mir Kadim,234 kg
BLF1046,101000,2.5 years,Red,Sindhi,244 kg
BLF1322,118000,2.5 years,Red,Sindhi,285 kg
BLF988,118000,2.5 years,Non Red,Local,290 kg
BLF1143,111000,2.5 years,Red,Sahiwal,269 kg
BLF900,81000,2.5 years,Non Red,Local,200 kg
BLF929,105000,2.5 years,Red,Sahiwal,255 kg
BLF1240,107000,2.5 years,Non Red,Local,265 kg
BLF1122,113000,3 years,Red,Local,272 kg
BLF874,117000,2.5 years,Red,Red Chittagong,280 kg
BLF1001,162000,2.5 years,Red,Sindhi,385 kg
BLF980,86000,2.5 years,Red,Sindhi,212 kg
BLF1129,140000,3 years,Cross Red,Holstein Friesian Cross,354 kg
BLF896,128000,4 years,Red,Sahiwal,313 kg
BLFS204,153000,3 years,Non Red,Holstein Friesian Cross,385 kg
BLF1138,115000,3 years,Red,Sindhi,278 kg
BLF1218,89000,2.5 years,Red,Local,216 kg
BLF1074,95000,3 years,Red,Local,230 kg
BLF881,109000,2.5 years,Non Red,Local,270 kg
BLF977,130000,2.5 years,Non Red,Red Chittagong,312 kg
BLF1151,120000,2.5 years,Non Red,Local,297 kg
BLF893,101000,2.5 years,Red,Red Chittagong,241 kg
BLF859,130000,2.5 years,Red,Local,322 kg
BLF1270,117000,3 years,Red,Sahiwal,283 kg
BLF1023,125000,2.5 years,Red,Local,300 kg
BLF911,90000,2.5 years,Non Red,Local,222 kg
BLF1334,79000,2.5 years,Red,Local,189 kg
BLFB377,125000,3 years,Red,Local,305 kg
BLF974,94000,2.5 years,Non Red,Local,230 kg
BLF1319,91000,2.5 years,Non Red,Local,224 kg
BLF1273,97000,2.5 years,Red,Local,234 kg
BLF884,156000,2.5 years,Red,Local,380 kg
BLF931,108000,3 years,Red,Red Chittagong,258 kg
BLF1246,82000,2.5 years,Red,Local,195 kg
BLF967,87000,3 years,Non Red,Local,215 kg
BLF951,108000,2.5 years,Red,Local,259 kg
BLF1069,105000,2.5 years,Red,Sindhi,253 kg
BLF1216,85000,3 years,Red,Local,205 kg
BLF1004,110000,2.5 years,Red,Local,263 kg
